date_sql,currency_type,record_type,record_type,version,billing_document,billing_document_item,order_co,order_co_item,value_for_reporting
2023-12-01,10,F,F,,9302482201,000051,1078822610,,010
2023-12-01,10,B,B,,5300060305,,1084707686,,010
2023-12-01,10,F,F,,9302455790,000030,1074074648,,010
2023-12-01,10,B,B,,5300060305,,1084707685,,010
2023-12-01,10,F,F,,9302490452,000020,1083694374,,010
2023-12-01,10,B,B,,5300060305,,1084707681,,010
2023-12-01,10,F,F,,9302455790,000020,1074074647,,010
2023-12-01,10,B,B,,5300060305,,1084707694,,010
2023-12-01,10,F,F,,9302482201,000031,1078822608,,010
2023-12-01,10,B,B,,5300060305,,1084707690,,010
2023-12-01,10,F,F,,9302455790,000010,1074074646,,010
2023-12-01,10,B,B,,5300060305,,1084707695,,010
2023-12-01,10,F,F,,9302473948,000030,1078135706,,010
2023-12-01,10,B,B,,5300060305,,1084707683,,010
2023-12-01,10,F,F,,9302455790,000040,1074074649,,010
2023-12-01,10,B,B,,5300060305,,1084707687,,010
2023-12-01,10,F,F,,9302482201,000021,1078822607,,010
2023-12-01,10,B,B,,5300060305,,1084707693,,010
2023-12-01,10,F,F,,9223564969,000061,1074072065,,010
2023-12-01,10,B,B,,5300060305,,1084707691,,010
2023-12-01,10,K,K,,100979601,,1078128988,,010
2023-12-01,10,B,B,,5300060305,,1084707692,,010
2023-12-01,10,F,F,,9223564969,000021,1074072064,,010
2023-12-01,10,B,B,,5300060305,,1084707682,,010
2023-12-01,10,F,F,,9302514192,000013,1084886371,,010
2023-12-01,10,B,B,,5300060305,,1084707684,,010
2023-12-01,10,B,B,,0103453749,,1080163981,,010
2023-12-01,10,B,B,,5300060305,,1084707689,,010
2023-12-01,10,F,F,,9302473948,000010,1078135704,,010
2023-12-01,10,B,B,,5300060305,,1084707688,,010
2023-12-01,10,F,F,,9302482973,000040,1080162508,,010
2023-12-01,10,B,B,,0100934420,,1084659602,,010
2023-12-01,10,F,F,,9302514192,000011,1084886369,,010
2023-12-01,10,B,B,,0100043933,,1078137592,,010
2023-12-01,10,F,F,,9302482973,000030,1080162507,,010
2023-12-01,10,B,B,,0103349636,,1078154785,,010
2023-12-01,10,F,F,,9302490452,000030,1083694375,,010
2023-12-01,10,B,B,,0100080304,,1078137649,,010
2023-12-01,10,F,F,,9302482973,000050,1080162509,,010
2023-12-01,10,B,B,,0100014559,,1078137582,,010
2023-12-01,10,F,F,,9302514192,000014,1084886372,,010
2023-12-01,10,F,F,,9302477331,000030,1078179981,,010
2023-12-01,10,F,F,,9302482974,000030,1080162513,,010
2023-12-01,10,F,F,,9302477331,000010,1078179979,,010
2023-12-01,10,F,F,,9302473948,000020,1078135705,,010
2023-12-01,10,F,F,,9302477331,000020,1078179980,,010
2023-12-01,10,F,F,,9302482974,000020,1080162512,,010
2023-12-01,10,F,F,,9302514192,000012,1084886370,,010
2023-12-01,10,F,F,,9302482974,000010,1080162511,,010
2023-12-01,10,B,B,,5010251718,000005,1084028515,,010
2023-12-01,10,F,F,,9302504454,000010,1084469952,,010
2023-12-01,10,F,F,,9302490452,000010,1083694373,,010
2023-12-01,10,F,F,,9302504473,000010,1084470006,,010
2023-12-01,10,K,K,,100979600,,1078128987,,010
2023-12-01,10,F,F,,9302514126,000010,1084885120,,010
2023-12-01,10,F,F,,9302489477,000030,1082421980,,010
2023-12-01,10,F,F,,9302513686,000010,1084883102,,010
2023-12-01,10,F,F,,9302476351,000010,1078167859,,010
2023-12-01,10,F,F,,9302513685,000010,1084883101,,010
2023-12-01,10,F,F,,9302489477,000010,1082421978,,010
2023-12-01,10,F,F,,9302503355,000010,1084448552,,010
2023-12-01,10,K,K,,101073857,,1078128983,,010
2023-12-01,10,F,F,,9302503981,000020,1084465619,,010
2023-12-01,10,F,F,,9302489477,000020,1082421979,,010
2023-12-01,10,F,F,,9302503981,000010,1084465618,,010
2023-12-01,10,B,B,,5010251718,000007,1084028517,,010
2023-12-01,10,F,F,,9302489908,000020,1082420304,,010
2023-12-01,10,K,K,,100873987,,1078128986,,010
2023-12-01,10,F,F,,9302489908,000030,1082420305,,010
2023-12-01,10,F,F,,9302473246,000011,1077852163,,010
2023-12-01,10,F,F,,9302489908,000010,1082420303,,010
2023-12-01,10,K,K,,100873985,,1078128984,,010
2023-12-01,10,B,B,,5010251718,000006,1084028516,,010
2023-12-01,10,K,K,,100873986,,1078128985,,010
2023-12-01,10,K,K,,100932038,,1078129591,,010
2023-12-01,10,F,F,,9302498109,000030,1084017618,,010
2023-12-01,10,B,B,,5010251718,000001,1084028511,,010
2023-12-01,10,F,F,,9302498109,000020,1084017617,,010
2023-12-01,10,F,F,,9302454680,000020,1074046119,,010
2023-12-01,10,F,F,,9302498109,000010,1084017616,,010
2023-12-01,10,B,B,,5010251718,000009,1084030829,,010
2023-12-01,10,K,K,,100932039,,1078129592,,010
2023-12-01,10,B,B,,5010251718,000003,1084028513,,010
2023-12-01,10,F,F,,9302473247,000013,1077852164,,010
2023-12-01,10,B,B,,5010251718,000002,1084028512,,010
2023-12-01,10,K,K,,100932035,,1078129588,,010
2023-12-01,10,B,B,,5010251718,000008,1084030828,,010
2023-12-01,10,F,F,,9302492516,000020,1083769088,,010
2023-12-01,10,B,B,,5010251718,000004,1084028514,,010
2023-12-01,10,K,K,,100932036,,1078129589,,010
2023-12-01,10,B,B,,0100932028,,1077609010,,010
2023-12-01,10,K,K,,100932040,,1078129593,,010
2023-12-01,10,F,F,,9302454679,000030,1074046117,,010
2023-12-01,10,K,K,,100932037,,1078129590,,010
2023-12-01,10,B,B,,5010226704,000001,1077835597,,010
2023-12-01,10,F,F,,9302504433,000010,1084467853,,010
2023-12-01,10,F,F,,9302508306,000072,1084669871,,010
2023-12-01,10,F,F,,9302504433,000030,1084467855,,010
2023-12-01,10,F,F,,9302471295,000042,1077646106,,010
2023-12-01,10,F,F,,9302504433,000020,1084467854,,010
2023-12-01,10,F,F,,9302454665,000010,1074046084,,010
2023-12-01,10,F,F,,9302504432,000020,1084467851,,010
2023-12-01,10,F,F,,9302471291,000042,1077646100,,010
2023-12-01,10,F,F,,9302504432,000010,1084467850,,010
2023-12-01,10,F,F,,9302492516,000030,1083769089,,010
2023-12-01,10,F,F,,9302504432,000030,1084467852,,010
2023-12-01,10,F,F,,9302471289,000042,1077646098,,010
2023-12-01,10,F,F,,9302504412,000241,1084466777,,010
2023-12-01,10,F,F,,9302454651,000030,1074046047,,010
2023-12-01,10,F,F,,9302471293,000023,1077646103,,010
2023-12-01,10,K,K,,103530109,,1083783350,,010
2023-12-01,10,F,F,,9302471293,000043,1077646104,,010
2023-12-01,10,F,F,,9302454680,000030,1074046120,,010
2023-12-01,10,F,F,,9302511070,000030,1084807497,,010
2023-12-01,10,F,F,,9302492518,000060,1083769104,,010
2023-12-01,10,F,F,,9302511070,000020,1084807496,,010
2023-12-01,10,F,F,,9302454679,000010,1074046115,,010
2023-12-01,10,F,F,,9302511070,000010,1084807495,,010
2023-12-01,10,F,F,,9302508305,000012,1084669864,,010
2023-12-01,10,F,F,,9302511894,000020,1084830502,,010
2023-12-01,10,F,F,,9302454679,000020,1074046116,,010
2023-12-01,10,F,F,,9302511894,000030,1084830503,,010
2023-12-01,10,F,F,,9302492518,000020,1083769100,,010
2023-12-01,10,F,F,,9302511894,000010,1084830501,,010
2023-12-01,10,F,F,,9302454651,000020,1074046046,,010
2023-12-01,10,F,F,,9302511875,000010,1084822343,,010
2023-12-01,10,B,B,,5010263313,000028,1084789098,,010
2023-12-01,10,F,F,,9302511875,000020,1084822344,,010
2023-12-01,10,F,F,,9302454665,000030,1074046086,,010
2023-12-01,10,F,F,,9302511875,000030,1084822345,,010
2023-12-01,10,F,F,,9302492518,000030,1083769101,,010
2023-12-01,10,F,F,,9223685324,000020,1075410222,,010
2023-12-01,10,F,F,,9302454680,000010,1074046118,,010
2023-12-01,10,F,F,,9223685324,000080,1075410224,,010
2023-12-01,10,F,F,,9302508306,000102,1084669874,,010
2023-12-01,10,F,F,,9223685324,000040,1075410223,,010
2023-12-01,10,F,F,,9302454665,000020,1074046085,,010
2023-12-01,10,F,F,,9223685323,000020,1075410218,,010
2023-12-01,10,F,F,,9302492518,000010,1083769099,,010
2023-12-01,10,F,F,,9223685323,000080,1075410221,,010
2023-12-01,10,F,F,,9302454651,000010,1074046045,,010
2023-12-01,10,F,F,,9223685323,000040,1075410219,,010
2023-12-01,10,K,K,,1083783350,,1083783351,,010
2023-12-01,10,F,F,,9223685323,000060,1075410220,,010
2023-12-01,10,F,F,,9302511061,000010,1084805975,,010
2023-12-01,10,B,B,,0100847598,,1084000768,,010
2023-12-01,10,F,F,,9302492516,000040,1083769090,,010
2023-12-01,10,B,B,,0100922939,,1084000736,,010
2023-12-01,10,F,F,,9302511061,000040,1084805978,,010
2023-12-01,10,B,B,,0103494593,,1084000765,,010
2023-12-01,10,F,F,,9302508306,000082,1084669872,,010
2023-12-01,10,B,B,,0100984877,,1083999881,,010
2023-12-01,10,F,F,,9302511061,000020,1084805976,,010
2023-12-01,10,B,B,,0100912567,,1084000758,,010
2023-12-01,10,F,F,,9302492518,000050,1083769103,,010
2023-12-01,10,F,F,,9302497791,000011,1084017185,,010
2023-12-01,10,F,F,,9302511061,000030,1084805977,,010
2023-12-01,10,F,F,,9302497791,000012,1084017186,,010
2023-12-01,10,K,K,,103330328,,1078129558,,010
2023-12-01,10,B,B,,0100815482,,1084000724,,010
2023-12-01,10,F,F,,9302511061,000050,1084805979,,010
2023-12-01,10,B,B,,0100984878,,1083999882,,010
2023-12-01,10,F,F,,9302492516,000010,1083769087,,010
2023-12-01,10,B,B,,5010251381,000001,1084014624,,010
2023-12-01,10,F,F,,9302511061,000060,1084805980,,010
2023-12-01,10,B,B,,5010251376,000001,1084014619,,010
2023-12-01,10,F,F,,9302508305,000032,1084669866,,010
2023-12-01,10,B,B,,0100983219,,1084000759,,010
2023-12-01,10,F,F,,9302511705,000040,1084818886,,010
2023-12-01,10,B,B,,0100919316,,1084000753,,010
2023-12-01,10,F,F,,9302492516,000050,1083769091,,010
2023-12-01,10,K,K,,100920292,,1083782662,,010
2023-12-01,10,F,F,,9302492516,000060,1083769092,,010
2023-12-01,10,F,F,,9302508305,000011,1084669863,,010
2023-12-01,10,F,F,,9302492518,000040,1083769102,,010
2023-12-01,10,B,B,,5010263313,000025,1084789095,,010
2023-12-01,10,F,F,,9302501092,000031,1084275100,,010
2023-12-01,10,F,F,,9302508306,000062,1084669870,,010
2023-12-01,10,F,F,,9302501069,000063,1084274140,,010
2023-12-01,10,K,K,,1083782662,,1083782663,,010
2023-12-01,10,F,F,,9302501070,000023,1084274141,,010
2023-12-01,10,F,F,,9302508305,000112,1084669869,,010
2023-12-01,10,F,F,,9302501069,000011,1084274134,,010
2023-12-01,10,F,F,,9302479633,000030,1078342326,,010
2023-12-01,10,F,F,,9302501069,000033,1084274137,,010
2023-12-01,10,F,F,,9302508305,000022,1084669865,,010
2023-12-01,10,F,F,,9302501069,000043,1084274138,,010
2023-12-01,10,K,K,,100920293,,1083782664,,010
2023-12-01,10,F,F,,9302501069,000013,1084274136,,010
2023-12-01,10,F,F,,9302508305,000042,1084669867,,010
2023-12-01,10,F,F,,9302501069,000053,1084274139,,010
2023-12-01,10,B,B,,5010263313,000026,1084789096,,010
2023-12-01,10,F,F,,9302501069,000012,1084274135,,010
2023-12-01,10,F,F,,9302508305,000052,1084669868,,010
2023-12-01,10,K,K,,100920291,,1083782661,,010
2023-12-01,10,F,F,,9302508306,000092,1084669873,,010
2023-12-01,10,K,K,,100932041,,1078129594,,010
2023-12-01,10,F,F,,9302482113,000011,1078612170,,010
2023-12-01,10,F,F,,9302494231,000010,1083809235,,010
2023-12-01,10,F,F,,9302481949,000022,1078505324,,010
2023-12-01,10,B,B,,5010263313,000027,1084789097,,010
2023-12-01,10,F,F,,9302482113,000043,1078612174,,010
2023-12-01,10,F,F,,9302494231,000020,1083809236,,010
2023-12-01,10,F,F,,9119768820,000013,1078821823,,010
2023-12-01,10,F,F,,9302452158,000030,1073913075,,010
2023-12-01,10,F,F,,9119768820,000012,1078821822,,010
2023-12-01,10,F,F,,9302494231,000030,1083809237,,010
2023-12-01,10,F,F,,9119768820,000011,1078821821,,010
2023-12-01,10,B,B,,5010263313,000029,1084789099,,010
2023-12-01,10,F,F,,9302482113,000033,1078612173,,010
2023-12-01,10,K,K,,1083783348,,1083783349,,010
2023-12-01,10,F,F,,9302482113,000012,1078612171,,010
2023-12-01,10,K,K,,100932042,,1078129595,,010
2023-12-01,10,F,F,,9302481949,000012,1078505321,,010
2023-12-01,10,K,K,,103530108,,1083783348,,010
2023-12-01,10,F,F,,9302482113,000013,1078612172,,010
2023-12-01,10,F,F,,9224173617,000030,1084789851,,010
2023-12-01,10,F,F,,9302481949,000021,1078505323,,010
2023-12-01,10,B,B,,0103348770,,1075411357,,010
2023-12-01,10,F,F,,9302481949,000011,1078505320,,010
2023-12-01,10,F,F,,9302479633,000020,1078342325,,010
2023-12-01,10,F,F,,9302481949,000013,1078505322,,010
2023-12-01,10,B,B,,5010222756,000001,1076162508,,010
2023-12-01,10,F,F,,9302468673,000030,1076273381,,010
2023-12-01,10,F,F,,9224173617,000020,1084789850,,010
2023-12-01,10,F,F,,9302468673,000020,1076273380,,010
2023-12-01,10,B,B,,0103302895,,1075412947,,010
2023-12-01,10,F,F,,9302468673,000010,1076273379,,010
2023-12-01,10,K,K,,100932043,,1078129596,,010
2023-12-01,10,F,F,,9302468673,000040,1076273382,,010
2023-12-01,10,F,F,,9302466319,000030,1075416495,,010
2023-12-01,10,F,F,,9302468672,000020,1076273373,,010
2023-12-01,10,F,F,,9224173617,000060,1084789853,,010
2023-12-01,10,F,F,,9302468672,000010,1076273372,,010
2023-12-01,10,F,F,,9302466319,000020,1075416494,,010
2023-12-01,10,F,F,,9302468672,000030,1076273374,,010
2023-12-01,10,K,K,,100920034,,1083783358,,010
2023-12-01,10,F,F,,9302468672,000060,1076273377,,010
2023-12-01,10,F,F,,9302466319,000010,1075416493,,010
2023-12-01,10,F,F,,9302468672,000070,1076273378,,010
2023-12-01,10,F,F,,9224173617,000040,1084789852,,010
2023-12-01,10,F,F,,9302468672,000050,1076273376,,010
2023-12-01,10,F,F,,9302464666,000030,1075401105,,010
2023-12-01,10,F,F,,9302468672,000040,1076273375,,010
2023-12-01,10,K,K,,103330336,,1078129597,,010
2023-12-01,10,B,B,,5010224005,000001,1076286812,,010
2023-12-01,10,F,F,,9302464666,000010,1075401103,,010
2023-12-01,10,F,F,,9302468430,000010,1076251042,,010
2023-12-01,10,F,F,,9224172788,000020,1084786305,,010
2023-12-01,10,F,F,,9302468430,000030,1076251044,,010
2023-12-01,10,F,F,,9302464666,000020,1075401104,,010
2023-12-01,10,F,F,,9302468430,000020,1076251043,,010
2023-12-01,10,F,F,,9302479633,000010,1078342324,,010
2023-12-01,10,F,F,,9302509179,000072,1084773047,,010
2023-12-01,10,F,F,,9302465237,000020,1075386813,,010
2023-12-01,10,F,F,,9302509179,000052,1084773045,,010
2023-12-01,10,F,F,,9224172788,000060,1084787078,,010
2023-12-01,10,F,F,,9302509179,000012,1084773041,,010
2023-12-01,10,F,F,,9302465237,000030,1075386814,,010
2023-12-01,10,F,F,,9302509179,000232,1084773063,,010
2023-12-01,10,K,K,,100851484,,1078128994,,010
2023-12-01,10,F,F,,9302509179,000132,1084773053,,010
2023-12-01,10,F,F,,9302465238,000010,1075386815,,010
2023-12-01,10,F,F,,9302509179,000082,1084773048,,010
2023-12-01,10,F,F,,9224172788,000040,1084786306,,010
2023-12-01,10,F,F,,9302509179,000142,1084773054,,010
2023-12-01,10,F,F,,9302465238,000020,1075386816,,010
2023-12-01,10,F,F,,9302509179,000092,1084773049,,010
2023-12-01,10,F,F,,9302452158,000020,1073913074,,010
2023-12-01,10,F,F,,9302509179,000172,1084773057,,010
2023-12-01,10,F,F,,9302465238,000030,1075386817,,010
2023-12-01,10,F,F,,9302509179,000252,1084773065,,010
2023-12-01,10,F,F,,9224172788,000050,1084786307,,010
2023-12-01,10,F,F,,9302509179,000242,1084773064,,010
2023-12-01,10,F,F,,9302465237,000010,1075386812,,010
2023-12-01,10,F,F,,9302509179,000192,1084773059,,010
2023-12-01,10,K,K,,100979602,,1078128989,,010
2023-12-01,10,F,F,,9302509179,000112,1084773051,,010
2023-12-01,10,B,B,,0103400534,,1075412906,,010
2023-12-01,10,F,F,,9302509179,000202,1084773060,,010
2023-12-01,10,F,F,,9224173742,000080,1084789702,,010
2023-12-01,10,F,F,,9302509179,000032,1084773043,,010
2023-12-01,10,F,F,,9302465798,000030,1075419314,,010
2023-12-01,10,F,F,,9302509179,000162,1084773056,,010
2023-12-01,10,F,F,,9302479629,000030,1078342315,,010
2023-12-01,10,F,F,,9302509179,000222,1084773062,,010
2023-12-01,10,F,F,,9302465798,000020,1075419313,,010
2023-12-01,10,F,F,,9302509179,000022,1084773042,,010
2023-12-01,10,F,F,,9224173742,000100,1084789703,,010
2023-12-01,10,F,F,,9302509179,000182,1084773058,,010
2023-12-01,10,F,F,,9302465798,000010,1075419312,,010
2023-12-01,10,F,F,,9302509179,000122,1084773052,,010
2023-12-01,10,K,K,,1078129598,,1078129599,,010
2023-12-01,10,F,F,,9302509179,000152,1084773055,,010
2023-12-01,10,K,K,,103362248,,1075426202,,010
2023-12-01,10,F,F,,9302509179,000011,1084773040,,010
2023-12-01,10,F,F,,9224173742,000040,1084789700,,010
2023-12-01,10,F,F,,9302509179,000062,1084773046,,010
2023-12-01,10,K,K,,1075426203,,1075426204,,010
2023-12-01,10,F,F,,9302509179,000102,1084773050,,010
2023-12-01,10,F,F,,9302473952,000010,1078035919,,010
2023-12-01,10,F,F,,9302509179,000212,1084773061,,010
2023-12-01,10,K,K,,1075426202,,1075426203,,010
2023-12-01,10,F,F,,9302509179,000042,1084773044,,010
2023-12-01,10,F,F,,9224173742,000020,1084789699,,010
2023-12-01,10,F,F,,9302501074,000030,1084274484,,010
2023-12-01,10,K,K,,1075426200,,1075426201,,010
2023-12-01,10,F,F,,9302501071,000014,1084274142,,010
2023-12-01,10,K,K,,1078129600,,1078129605,,010
2023-12-01,10,F,F,,9302501076,000070,1084274489,,010
2023-12-01,10,K,K,,1075426196,,1075426197,,010
2023-12-01,10,F,F,,9302501071,000054,1084274145,,010
2023-12-01,10,F,F,,9224173742,000120,1084789704,,010
2023-12-01,10,F,F,,9302501073,000080,1084274482,,010
2023-12-01,10,K,K,,100938987,,1075426196,,010
2023-12-01,10,F,F,,9302501073,000040,1084274478,,010
2023-12-01,10,F,F,,9302479629,000020,1078342314,,010
2023-12-01,10,F,F,,9302501073,000090,1084274483,,010
2023-12-01,10,K,K,,1075426198,,1075426199,,010
2023-12-01,10,F,F,,9302501075,000030,1084274485,,010
2023-12-01,10,F,F,,9224173742,000140,1084789705,,010
2023-12-01,10,F,F,,9302501076,000040,1084274486,,010
2023-12-01,10,K,K,,1075426197,,1075426198,,010
2023-12-01,10,F,F,,9302501073,000050,1084274479,,010
2023-12-01,10,K,K,,103330337,,1078129598,,010
2023-12-01,10,F,F,,9302501071,000024,1084274143,,010
2023-12-01,10,K,K,,1075426199,,1075426200,,010
2023-12-01,10,F,F,,9302501071,000034,1084274144,,010
2023-12-01,10,F,F,,9224173742,000060,1084789701,,010
2023-12-01,10,F,F,,9302501072,000044,1084274146,,010
2023-12-01,10,F,F,,9302450866,000020,1073897536,,010
2023-12-01,10,F,F,,9302501076,000050,1084274487,,010
2023-12-01,10,F,F,,9302452158,000010,1073913073,,010
2023-12-01,10,F,F,,9302501073,000060,1084274480,,010
2023-12-01,10,F,F,,9302450866,000010,1073897535,,010
2023-12-01,10,F,F,,9302501073,000070,1084274481,,010
2023-12-01,10,F,F,,9224173546,000060,1084788946,,010
2023-12-01,10,F,F,,9302501076,000060,1084274488,,010
2023-12-01,10,F,F,,9302450866,000030,1073897537,,010
2023-12-01,10,F,F,,9302501073,000020,1084274147,,010
2023-12-01,10,K,K,,1078129605,,1078129606,,010
2023-12-01,10,F,F,,9302450971,000010,1073898112,,010
2023-12-01,10,F,F,,9224173546,000070,1084788947,,010
2023-12-01,10,F,F,,9302450967,000030,1073898101,,010
2023-12-01,10,F,F,,9302479629,000040,1078342316,,010
2023-12-01,10,F,F,,9302450971,000030,1073898114,,010
2023-12-01,10,F,F,,9224173454,000020,1084787821,,010
2023-12-01,10,F,F,,9302450967,000020,1073898100,,010
2023-12-01,10,K,K,,1078129599,,1078129600,,010
2023-12-01,10,F,F,,9302450971,000020,1073898113,,010
2023-12-01,10,F,F,,9224173228,000020,1084786614,,010
2023-12-01,10,F,F,,9302450967,000010,1073898099,,010
2023-12-01,10,F,F,,9302495647,000012,1083840263,,010
2023-12-01,10,F,F,,9302451602,000030,1073898428,,010
2023-12-01,10,F,F,,9224173444,000080,1084787774,,010
2023-12-01,10,F,F,,9302451602,000020,1073898427,,010
2023-12-01,10,K,K,,100932029,,1078129430,,010
2023-12-01,10,F,F,,9302451602,000010,1073898426,,010
2023-12-01,10,F,F,,9224173444,000100,1084787775,,010
2023-12-01,10,F,F,,9302470441,000020,1077398621,,010
2023-12-01,10,F,F,,9302479629,000050,1078342317,,010
2023-12-01,10,F,F,,9302471813,000010,1077335814,,010
2023-12-01,10,F,F,,9224173444,000060,1084787773,,010
2023-12-01,10,F,F,,9302470441,000030,1077398622,,010
2023-12-01,10,K,K,,1078128991,,1078128992,,010
2023-12-01,10,F,F,,9302470441,000010,1077398620,,010
2023-12-01,10,F,F,,9224173444,000120,1084787777,,010
2023-12-01,10,F,F,,9302471813,000030,1077335816,,010
2023-12-01,10,F,F,,9302452159,000010,1073913076,,010
2023-12-01,10,F,F,,9302471813,000020,1077335815,,010
2023-12-01,10,F,F,,9224173444,000030,1084787771,,010
2023-12-01,10,F,F,,9302472849,000010,1077844904,,010
2023-12-01,10,K,K,,100851483,,1078128993,,010
2023-12-01,10,F,F,,9302471473,000010,1076769720,,010
2023-12-01,10,F,F,,9224173444,000040,1084787772,,010
2023-12-01,10,F,F,,9302471473,000030,1076769722,,010
2023-12-01,10,F,F,,9302479629,000010,1078342313,,010
2023-12-01,10,F,F,,9302472849,000030,1077844906,,010
2023-12-01,10,F,F,,9224173444,000110,1084787776,,010
2023-12-01,10,F,F,,9302472849,000020,1077844905,,010
2023-12-01,10,K,K,,1078128990,,1078128991,,010
2023-12-01,10,F,F,,9302471473,000020,1076769721,,010
2023-12-01,10,F,F,,9224173444,000020,1084787770,,010
2023-12-01,10,F,F,,9302471459,000020,1076769678,,010
2023-12-01,10,F,F,,9302491872,000020,1083765722,,010
2023-12-01,10,F,F,,9302471459,000010,1076769677,,010
2023-12-01,10,B,B,,5010263321,000015,1084790423,,010
2023-12-01,10,F,F,,9302471459,000030,1076769679,,010
2023-12-01,10,K,K,,100851482,,1078128990,,010
2023-12-01,10,B,B,,5010263321,000013,1084790421,,010
